Year,Region Name,Pounds,Dollars,Collection,Metric Tons
1994,Gulf,"151,803,640",,Recreational,"68,858"
1994,Middle Atlantic,"928,605,104","337,192,495",Commercial,"421,213"
1994,Middle Atlantic,"96,487,533",,Recreational,"43,766"
1994,New England,"553,657,525","551,816,834",Commercial,"251,137"
1994,New England,"42,340,721",,Recreational,"19,206"
1994,Pacific Coast,"856,161,516","345,151,981",Commercial,"388,352"
1994,Pacific Coast,"1,353,090",,Recreational,614
1994,South Atlantic,"286,562,918","220,193,377",Commercial,"129,984"
1994,South Atlantic,"101,529,720",,Recreational,"46,054"
1995,Great Lakes,"445,766","355,224",Commercial,202
1995,Gulf,"1,488,960,975","764,269,570",Commercial,"675,388"
1995,Gulf,"165,857,759",,Recreational,"75,233"
1995,Middle Atlantic,"1,095,992,289","361,851,387",Commercial,"497,139"
1995,Middle Atlantic,"111,431,166",,Recreational,"50,545"
1995,New England,"601,240,807","564,910,085",Commercial,"272,721"
1995,New England,"35,262,277",,Recreational,"15,995"
1995,Pacific Coast,"938,287,917","371,375,356",Commercial,"425,605"
1995,Pacific Coast,"1,034,575",,Recreational,469
1995,South Atlantic,"274,158,369","247,966,795",Commercial,"124,357"
1995,South Atlantic,"95,936,928",,Recreational,"43,517"
1996,Great Lakes,"110,417","86,578",Commercial,50
1996,Gulf,"1,519,937,850","714,870,658",Commercial,"689,439"
1996,Gulf,"157,625,100",,Recreational,"71,498"
1996,Middle Atlantic,"984,763,236","345,194,894",Commercial,"446,686"
1996,Middle Atlantic,"106,216,331",,Recreational,"48,179"
1996,New England,"650,434,568","570,835,473",Commercial,"295,035"
1996,New England,"30,309,543",,Recreational,"13,748"
1996,Pacific Coast,"965,430,453","393,997,477",Commercial,"437,916"
1996,Pacific Coast,"1,012,054",,Recreational,459
1996,South Atlantic,"271,349,897","213,841,056",Commercial,"123,084"
1996,South Atlantic,"84,755,043",,Recreational,"38,445"
1997,Great Lakes,"40,052","55,315",Commercial,18
1997,Gulf,"1,811,649,757","770,716,860",Commercial,"821,759"
1997,Gulf,"180,083,320",,Recreational,"81,685"
1997,Middle Atlantic,"905,486,275","358,236,236",Commercial,"410,726"
1997,Middle Atlantic,"123,387,151",,Recreational,"55,968"
1997,New England,"649,088,765","573,467,862",Commercial,"294,425"
1997,New England,"36,898,715",,Recreational,"16,737"
1997,Pacific Coast,"1,004,004,698","376,331,081",Commercial,"455,414"
1997,Pacific Coast,"1,129,028",,Recreational,512
1997,South Atlantic,"301,168,057","223,837,661",Commercial,"136,609"
1997,South Atlantic,"92,093,857",,Recreational,"41,773"
1998,Great Lakes,"34,268","45,136",Commercial,16
1998,Gulf,"1,576,300,733","786,449,596",Commercial,"715,005"
1998,Gulf,"161,970,102",,Recreational,"73,469"
1998,Middle Atlantic,"915,722,982","355,913,851",Commercial,"415,369"
1998,Middle Atlantic,"112,770,592",,Recreational,"51,152"
1998,New England,"603,560,218","540,453,707",Commercial,"273,773"
1998,New England,"33,728,786",,Recreational,"15,299"
1998,Pacific Coast,"653,537,355","270,364,411",Commercial,"296,443"
1998,Pacific Coast,"1,212,856",,Recreational,550
1998,South Atlantic,"240,991,054","198,067,441",Commercial,"109,313"
1998,South Atlantic,"91,253,715",,Recreational,"41,392"
1999,Great Lakes,"70,872","104,846",Commercial,32
1999,Gulf,"2,004,445,898","823,364,392",Commercial,"909,211"
1999,Gulf,"188,029,183",,Recreational,"85,289"
1999,Middle Atlantic,"753,181,222","350,619,940",Commercial,"341,641"
1999,Middle Atlantic,"106,926,549",,Recreational,"48,502"
1999,New England,"584,063,783","662,196,670",Commercial,"264,930"
1999,New England,"38,266,875",,Recreational,"17,358"
1999,Pacific Coast,"976,099,158","340,962,421",Commercial,"442,756"
1999,Pacific Coast,"781,977",,Recreational,355
1999,South Atlantic,"215,676,429","204,680,750",Commercial,"97,830"
1999,South Atlantic,"125,384,163",,Recreational,"56,874"
2000,Great Lakes,"96,938","157,010",Commercial,44
2000,Gulf,"1,795,395,790","997,270,263",Commercial,"814,386"
2000,Gulf,"181,865,048",,Recreational,"82,493"
2000,Middle Atlantic,"715,405,136","347,403,004",Commercial,"324,506"
2000,Middle Atlantic,"133,159,651",,Recreational,"60,401"
2000,New England,"576,194,048","688,501,385",Commercial,"261,360"
2000,New England,"48,679,595",,Recreational,"22,081"
2000,Pacific Coast,"1,026,881,288","359,225,974",Commercial,"465,790"
2000,Pacific Coast,"828,345",,Recreational,376
2000,South Atlantic,"221,638,632","220,094,673",Commercial,"100,535"
2000,South Atlantic,"127,117,536",,Recreational,"57,660"
2001,Great Lakes,"62,575","117,625",Commercial,28
2001,Gulf,"1,613,163,314","807,403,056",Commercial,"731,726"
2001,Gulf,"190,164,205",,Recreational,"86,258"
2001,Middle Atlantic,"835,471,349","348,300,485",Commercial,"378,967"
2001,Middle Atlantic,"124,330,390",,Recreational,"56,396"
2001,New England,"631,497,979","638,077,757",Commercial,"286,446"
2001,New England,"46,403,466",,Recreational,"21,048"
2001,Pacific Coast,"914,007,986","320,922,957",Commercial,"414,591"
2001,South Atlantic,"199,127,620","177,614,853",Commercial,"90,324"
2001,South Atlantic,"124,885,725",,Recreational,"56,648"
2002,Great Lakes,"56,209","73,321",Commercial,25
2002,Gulf,"1,728,898,619","681,646,425",Commercial,"784,223"
2002,Gulf,"175,740,875",,Recreational,"79,716"
2002,Middle Atlantic,"702,265,512","342,440,684",Commercial,"318,546"
2002,Middle Atlantic,"119,033,915",,Recreational,"53,993"
2002,New England,"589,024,867","696,501,697",Commercial,"267,180"
2002,New England,"48,419,554",,Recreational,"21,963"
2002,Pacific Coast,"882,703,009","323,935,320",Commercial,"400,391"
2002,South Atlantic,"216,041,785","170,667,823",Commercial,"97,996"
2002,South Atlantic,"116,527,846",,Recreational,"52,857"
2003,Great Lakes,"27,919","48,527",Commercial,13
2003,Gulf,"1,595,895,410","662,902,465",Commercial,"723,893"
2003,Gulf,"171,698,547",,Recreational,"77,882"
2003,Middle Atlantic,"710,759,432","357,221,030",Commercial,"322,398"
2003,Middle Atlantic,"143,202,880",,Recreational,"64,956"
2003,New England,"660,518,315","690,815,001",Commercial,"299,609"
2003,New England,"53,269,825",,Recreational,"24,163"
2003,Pacific Coast,"797,941,224","395,759,019",Commercial,"361,944"
2003,South Atlantic,"197,369,622","156,451,803",Commercial,"89,526"
2003,South Atlantic,"125,962,042",,Recreational,"57,136"
2004,Great Lakes,"61,739","90,046",Commercial,28
2004,Gulf,"1,452,121,853","641,809,626",Commercial,"658,678"
2004,Gulf,"178,682,719",,Recreational,"81,050"
2004,Middle Atlantic,"762,654,974","410,464,365",Commercial,"345,938"
2004,Middle Atlantic,"122,658,060",,Recreational,"55,637"
2004,New England,"731,962,598","833,589,639",Commercial,"332,016"
2004,New England,"50,153,428",,Recreational,"22,749"
2004,Pacific Coast,"1,064,379,133","402,114,048",Commercial,"482,799"
2004,Pacific Coast,"2,543,723",,Recreational,"1,154"
2004,South Atlantic,"200,434,134","162,150,225",Commercial,"90,916"
2004,South Atlantic,"125,257,637",,Recreational,"56,816"
2005,Great Lakes,"51,371","106,992",Commercial,23
2005,Gulf,"1,193,584,910","618,033,738",Commercial,"541,407"
2005,Gulf,"138,882,599",,Recreational,"62,997"
2005,Middle Atlantic,"709,968,541","450,274,355",Commercial,"322,040"
2005,Middle Atlantic,"124,455,120",,Recreational,"56,452"
2005,New England,"701,379,950","977,935,353",Commercial,"318,144"
2005,New England,"44,727,628",,Recreational,"20,288"
2005,Pacific Coast,"1,158,438,302","401,964,927",Commercial,"525,464"
2005,Pacific Coast,"12,299,205",,Recreational,"5,579"
2005,South Atlantic,"123,383,569","131,508,598",Commercial,"55,966"
2005,South Atlantic,"111,377,226",,Recreational,"50,520"
2006,Great Lakes,"61,794","145,929",Commercial,28
2006,Gulf,"1,416,966,099","682,268,830",Commercial,"642,732"
2006,Gulf,"136,590,199",,Recreational,"61,957"
2006,Middle Atlantic,"690,899,480","374,202,075",Commercial,"313,390"
2006,Middle Atlantic,"116,294,808",,Recreational,"52,751"
2006,New England,"748,782,901","1,132,896,386",Commercial,"339,646"
2006,New England,"46,943,831",,Recreational,"21,294"
2006,Pacific Coast,"1,191,799,814","456,721,563",Commercial,"540,597"
2006,Pacific Coast,"11,201,688",,Recreational,"5,081"
2006,South Atlantic,"114,549,226","140,442,311",Commercial,"51,959"
2006,South Atlantic,"116,956,989",,Recreational,"53,051"
2007,Great Lakes,"97,574","204,355",Commercial,44
2007,Gulf,"1,410,403,004","692,443,181",Commercial,"639,755"
2007,Gulf,"135,171,458",,Recreational,"61,313"
2007,Middle Atlantic,"749,617,295","421,089,703",Commercial,"340,024"
2007,Middle Atlantic,"119,585,655",,Recreational,"54,244"
2007,New England,"593,536,708","916,424,049",Commercial,"269,226"
2007,New England,"47,322,167",,Recreational,"21,465"
2007,Pacific Coast,"1,134,016,320","446,616,970",Commercial,"514,386"
2007,Pacific Coast,"9,999,316",,Recreational,"4,536"
2007,South Atlantic,"106,898,230","153,990,975",Commercial,"48,489"
2007,South Atlantic,"115,820,820",,Recreational,"52,536"
2008,Great Lakes,"75,330","168,463",Commercial,34
2008,Gulf,"1,294,855,864","674,241,337",Commercial,"587,343"
2008,Gulf,"151,955,724",,Recreational,"68,927"
2008,Middle Atlantic,"687,069,963","449,943,243",Commercial,"311,653"
2008,Middle Atlantic,"116,372,256",,Recreational,"52,786"
2008,New England,"623,122,876","865,505,602",Commercial,"282,647"
2008,New England,"53,458,805",,Recreational,"24,249"
2008,Pacific Coast,"1,104,334,302","490,177,866",Commercial,"500,923"
2008,Pacific Coast,"8,496,286",,Recreational,"3,854"
2008,South Atlantic,"118,676,693","167,560,730",Commercial,"53,831"
2008,South Atlantic,"113,926,777",,Recreational,"51,677"
2009,Great Lakes,"123,202","263,046",Commercial,56
2009,Gulf,"1,597,918,545","636,320,715",Commercial,"724,811"
2009,Gulf,"146,975,954",,Recreational,"66,668"
2009,Middle Atlantic,"698,883,310","439,344,356",Commercial,"317,011"
2009,Middle Atlantic,"126,265,799",,Recreational,"57,274"
2009,New England,"662,145,521","823,577,367",Commercial,"300,347"
2009,New England,"44,559,463",,Recreational,"20,212"
2009,Pacific Coast,"914,190,054","487,204,076",Commercial,"414,674"
2009,Pacific Coast,"9,326,578",,Recreational,"4,231"
2009,South Atlantic,"115,184,624","148,391,612",Commercial,"52,247"
2009,South Atlantic,"127,176,877",,Recreational,"57,687"
2010,Great Lakes,"122,322","297,640",Commercial,55
2010,Gulf,"1,276,068,040","604,310,342",Commercial,"578,821"
2010,Gulf,"154,571,018",,Recreational,"70,113"
2010,Middle Atlantic,"812,419,888","522,517,832",Commercial,"368,511"
2010,Middle Atlantic,"128,023,076",,Recreational,"58,071"
2010,New England,"606,714,972","1,036,025,676",Commercial,"275,204"
2010,New England,"70,582,205",,Recreational,"32,016"
2010,Pacific Coast,"1,091,254,866","562,770,959",Commercial,"494,990"
2010,Pacific Coast,"8,666,251",,Recreational,"3,931"
2010,South Atlantic,"121,766,872","167,738,821",Commercial,"55,233"
2010,South Atlantic,"109,989,013",,Recreational,"49,891"
2011,Great Lakes,"113,483","223,433",Commercial,51
2011,Gulf,"1,768,720,243","805,845,347",Commercial,"802,286"
2011,Gulf,"172,899,731",,Recreational,"78,427"
2011,Middle Atlantic,"798,969,282","554,146,858",Commercial,"362,410"
2011,Middle Atlantic,"102,756,480",,Recreational,"46,610"
2011,New England,"619,385,820","1,125,561,818",Commercial,"280,952"
2011,New England,"60,754,259",,Recreational,"27,558"
2011,Pacific Coast,"1,190,547,638","716,046,516",Commercial,"540,029"
2011,Pacific Coast,"9,065,964",,Recreational,"4,112"
2011,South Atlantic,"126,566,326","174,977,876",Commercial,"57,410"
2011,South Atlantic,"111,435,882",,Recreational,"50,547"
2012,Great Lakes,"117,527","249,007",Commercial,53
2012,Gulf,"1,669,006,559","781,453,404",Commercial,"757,056"
2012,Gulf,"187,025,746",,Recreational,"84,834"
2012,Middle Atlantic,"762,667,623","510,012,290",Commercial,"345,944"
2012,Middle Atlantic,"113,644,892",,Recreational,"51,549"
2012,New England,"690,955,805","1,271,514,648",Commercial,"313,415"
2012,New England,"60,001,207",,Recreational,"27,216"
2012,Pacific Coast,"1,086,151,456","685,739,431",Commercial,"492,675"
2012,Pacific Coast,"11,097,889",,Recreational,"5,034"
2012,South Atlantic,"111,571,816","176,969,300",Commercial,"50,609"
2012,South Atlantic,"91,492,110",,Recreational,"41,501"
2013,Great Lakes,"65,251","150,074",Commercial,30
2013,Gulf,"1,351,757,697","930,694,192",Commercial,"613,153"
2013,Gulf,"206,068,965",,Recreational,"93,472"
2013,Middle Atlantic,"587,009,315","440,210,886",Commercial,"266,266"
2013,Middle Atlantic,"130,484,599",,Recreational,"59,187"
2013,New England,"634,393,633","1,162,418,951",Commercial,"287,759"
2013,New England,"67,693,054",,Recreational,"30,705"
2013,Pacific Coast,"1,268,574,867","816,082,888",Commercial,"575,422"
2013,Pacific Coast,"11,276,485",,Recreational,"5,115"
2013,South Atlantic,"103,349,530","167,466,619",Commercial,"46,879"
2013,South Atlantic,"107,960,381",,Recreational,"48,971"
2014,Great Lakes,"92,851","224,400",Commercial,42
2014,Gulf,"1,243,723,584","1,057,432,674",Commercial,"564,149"
2014,Gulf,"114,064,337",,Recreational,"51,739"
2014,Middle Atlantic,"595,628,528","478,360,510",Commercial,"270,175"
2014,Middle Atlantic,"125,897,789",,Recreational,"57,107"
2014,New England,"659,442,943","1,243,096,357",Commercial,"299,121"
2014,New England,"52,285,510",,Recreational,"23,717"
2014,Pacific Coast,"1,217,354,822","759,553,643",Commercial,"552,189"
2014,Pacific Coast,"12,159,178",,Recreational,"5,515"
2014,South Atlantic,"115,277,179","193,529,190",Commercial,"52,289"
2014,South Atlantic,"119,995,906",,Recreational,"54,430"
2015,Great Lakes,"166,854","262,757",Commercial,76
2015,Gulf,"1,553,292,149","853,706,070",Commercial,"704,569"
2015,Gulf,"122,233,847",,Recreational,"55,445"
2015,Middle Atlantic,"644,393,395","527,729,853",Commercial,"292,295"
2015,Middle Atlantic,"132,534,476",,Recreational,"60,117"
2015,New England,"608,235,132","1,278,116,765",Commercial,"275,894"
2015,New England,"46,933,554",,Recreational,"21,289"
2015,Pacific Coast,"761,996,821","595,036,224",Commercial,"345,639"
2015,Pacific Coast,"15,056,251",,Recreational,"6,829"
2015,South Atlantic,"115,578,135","201,201,514",Commercial,"52,426"
2015,South Atlantic,"109,271,284",,Recreational,"49,565"
2016,Great Lakes,"149,833","422,845",Commercial,68
2016,Gulf,"1,737,121,436","890,086,294",Commercial,"787,953"
2016,Gulf,"122,480,772",,Recreational,"55,557"
2016,Middle Atlantic,"589,320,526","550,650,013",Commercial,"267,314"
2016,Middle Atlantic,"118,962,229",,Recreational,"53,961"
2016,New England,"624,113,587","1,431,099,813",Commercial,"283,096"
2016,New England,"41,380,456",,Recreational,"18,770"
2016,Pacific Coast,"958,343,318","728,493,783",Commercial,"434,702"
2016,Pacific Coast,"11,776,389",,Recreational,"5,342"
2016,South Atlantic,"106,885,656","190,483,241",Commercial,"48,483"
2016,South Atlantic,"119,866,367",,Recreational,"54,371"
2017,Great Lakes,"146,919","395,388",Commercial,67
2017,Gulf,"1,401,487,200","872,814,049",Commercial,"635,710"
2017,Gulf,"132,545,635",,Recreational,"60,122"
2017,Middle Atlantic,"617,702,824","510,747,958",Commercial,"280,188"
2017,Middle Atlantic,"129,115,286",,Recreational,"58,566"
2017,New England,"578,687,419","1,334,203,066",Commercial,"262,491"
2017,New England,"45,634,128",,Recreational,"20,700"
2017,Pacific Coast,"1,187,652,934","745,567,599",Commercial,"538,716"
2017,Pacific Coast,"11,661,527",,Recreational,"5,290"
2017,South Atlantic,"111,091,646","204,184,399",Commercial,"50,391"
2017,South Atlantic,"116,013,101",,Recreational,"52,623"
2018,Great Lakes,"124,832","345,218",Commercial,57
2018,Gulf,"1,543,096,907","890,570,943",Commercial,"699,944"
2018,Gulf,"108,854,757",,Recreational,"49,376"
2018,Middle Atlantic,"629,586,129","478,004,999",Commercial,"285,578"
2018,Middle Atlantic,"68,620,974",,Recreational,"31,126"
2018,New England,"596,323,140","1,454,536,080",Commercial,"270,490"
2018,New England,"33,555,265",,Recreational,"15,221"
2018,Pacific Coast,"1,100,037,258","739,866,083",Commercial,"498,974"
2018,Pacific Coast,"10,113,794",,Recreational,"4,588"
2018,South Atlantic,"97,383,255","175,871,652",Commercial,"44,173"
2018,South Atlantic,"104,897,209",,Recreational,"47,581"
2019,Gulf,"1,413,233,311","828,661,768",Commercial,"641,038"
2019,Gulf,"105,084,987",,Recreational,"47,666"
2019,Middle Atlantic,"644,729,191","498,274,381",Commercial,"292,447"
2019,Middle Atlantic,"84,064,014",,Recreational,"38,131"
2019,New England,"516,272,289","1,505,481,684",Commercial,"234,180"
2019,New England,"37,904,450",,Recreational,"17,193"
2019,Pacific Coast,"1,006,685,760","653,664,329",Commercial,"456,630"
2019,Pacific Coast,"12,487,426",,Recreational,"5,664"
2019,South Atlantic,"118,414,009","201,785,118",Commercial,"53,712"
2019,South Atlantic,"93,768,508",,Recreational,"42,533"
2020,Gulf,"1,221,202,045","755,192,396",Commercial,"553,934"
2020,Gulf,"94,844,497",,Recreational,"43,021"
2020,Middle Atlantic,"559,394,206","536,136,210",Commercial,"253,740"
2020,Middle Atlantic,"96,427,431",,Recreational,"43,739"
2020,New England,"484,946,511","1,210,202,839",Commercial,"219,970"
2020,New England,"27,723,810",,Recreational,"12,575"
2020,Pacific Coast,"936,365,341","558,585,585",Commercial,"424,733"
2020,Pacific Coast,"7,885,541",,Recreational,"3,577"
2020,South Atlantic,"103,517,694","184,165,549",Commercial,"46,955"
2020,South Atlantic,"108,860,829",,Recreational,"49,379"
2021,Gulf,"1,144,087,408","923,052,614",Commercial,"518,955"
2021,Gulf,"87,878,600",,Recreational,"39,861"
2021,Middle Atlantic,"568,489,540","509,688,272",Commercial,"257,865"
2021,Middle Atlantic,"86,376,786",,Recreational,"39,180"
2021,New England,"501,092,658","1,954,779,980",Commercial,"227,294"
2021,New England,"37,452,684",,Recreational,"16,988"
2021,Pacific Coast,"964,894,465","745,675,541",Commercial,"437,673"
2021,Pacific Coast,"9,439,939",,Recreational,"4,282"
2021,South Atlantic,"96,338,405","207,487,307",Commercial,"43,699"
2021,South Atlantic,"91,873,345",,Recreational,"41,673"
2022,Gulf,"1,380,260,818","908,859,035",Commercial,"626,082"
2022,Gulf,"108,523,176",,Recreational,"49,226"
2022,Middle Atlantic,"506,983,494","415,114,666",Commercial,"229,966"
2022,Middle Atlantic,"97,989,499",,Recreational,"44,448"
2022,New England,"428,311,213","1,415,965,517",Commercial,"194,281"
2022,New England,"39,939,355",,Recreational,"18,116"
2022,Pacific Coast,"1,042,837,471","718,870,885",Commercial,"473,028"
2022,Pacific Coast,"10,144,201",,Recreational,"4,601"
2022,South Atlantic,"91,195,626","174,112,555",Commercial,"41,366"
2022,South Atlantic,"95,223,666",,Recreational,"43,193"
2023,Gulf,"1,265,843,426","795,392,054",Commercial,"574,183"
2023,Gulf,"97,832,756",,Recreational,"44,377"
2023,Middle Atlantic,"538,074,707","420,482,943",Commercial,"244,069"
2023,Middle Atlantic,"90,865,773",,Recreational,"41,216"
2023,New England,"415,766,075","1,352,055,242",Commercial,"188,590"
2023,New England,"36,994,233",,Recreational,"16,780"
2023,Pacific Coast,"867,444,175","642,881,372",Commercial,"393,470"
2023,Pacific Coast,"10,585,612",,Recreational,"4,802"
2023,South Atlantic,"97,838,011","172,085,568",Commercial,"44,379"
2023,South Atlantic,"89,634,158",,Recreational,"40,658"
2024,Gulf,"1,075,530,806","719,359,400",Commercial,"487,858"
2024,Gulf,"91,910,410",,Recreational,"41,690"
2024,Middle Atlantic,"561,885,311","453,973,277",Commercial,"254,870"
2024,Middle Atlantic,"71,071,907",,Recreational,"32,238"
2024,New England,"397,077,385","1,391,340,221",Commercial,"180,113"
2024,New England,"27,573,572",,Recreational,"12,507"
2024,Pacific Coast,"761,093,869","652,367,073",Commercial,"345,230"
2024,Pacific Coast,"9,966,786",,Recreational,"4,521"
2024,South Atlantic,"106,675,425","198,775,842",Commercial,"48,388"
2024,South Atlantic,"90,904,296",,Recreational,"41,234"
